question,intent

가족관계,가족
가족,가족
너 근데 가족,가족
너 가족,가족
가족,가족
그럼 가족,가족
그러면 가족,가족
너 혹시 가족,가족
너 가족,가족

남 동생,동생
너는 여동생,동생
너희 여동생,동생
남동생,동생
그 동생,동생
아 동생,동생

누나,누나언니
누나가,누나언니
너희 누나,누나언니
그 누나,누나언니
그런 누나,누나언니
그런 누나가,누나언니
아 누나,누나언니
언니,누나언니
그 언니,누나언니
우리 언니,누나언니

너 누나,가족
넌 누나,가족
누나,가족
너 동생
동생,가족
너네 동생,가족
혹시 동생,가족
부모,가족
너희 동생,가족
아니 부모,가족질문
혹시 부모님,가족질문
부모님,가족
부모,가족
너희 부모님,가족
아버지,가족
아빠,가족
그러면 아버지,가족
우리 아버지,가족
우리 아빠,가족
너네 아빠,가족
너는 아빠,가족
너희 아빠,가족
엄마,가족
어머니,가족
너희 어머니,가족
너는 어머니,가족
우리 엄마,가족
우리 어머니,가족
그럼 그 어머니,가족

언니,가족
우리 언니,가족
그럼 언니,가족
아 그 언니,가족
그 언니가,

언니 있냐고,가족질문
언니 있니,가족질문
언니 있어,가족질문
엄마 안 계시니,가족질문
엄마 있냐,가족질문
엄마 있냐고,가족질문
엄마 있니,가족질문
여 동생 있냐,가족질문
여동생 있니,가족질문
여동생 있어,가족질문
오빠 있냐고,가족질문
오빠 있니,가족질문
오빠 있어,가족질문
형 있냐,가족질문
형 있니,가족질문
형 있어,가족질문
형제 있냐고,가족질문
형제 있냐고 물었어,가족질문
형제 있니,가족질문
형제 있어,가족질문
에이 뭐야 가짜고만,가족질문
가짜였잖아 에이,가족질문
너 가짜였어,가짜
너 가짜구나,가짜
짜가네,가짜
짭이네,가짜
이 거 짭이네,가짜
가짜였잖아,가짜
완전 가짜고만,가짜
진짜 인줄 알았는데 가짜네,가짜
진짜 인줄 알았거든 근데 가짜네,가짜
진짜가 아니고 가짜구나,가짜
진짜가 아니고 가짜였네,가짜
너 가짜잖아 속이지마,가짜
가짜잖아,가짜
가짜 주제에,가짜
가짜였네,가짜
가짜구나,가짜
가짜였어,가짜
가짜 일까,가짜
가짜 인 것,가짜
가짜 인 것 같던데,가짜
가짜 인 것 같더라고,가짜
가짜 인 것 같더라,가짜
가짜 일 줄 알았어,가짜

나 거짓말 못하겠어,거짓말
뻥치네,거짓말
거짓말,거짓말
거짓말 치네,거짓말
거짓말 치지마,거짓말
구라 치지마,거짓말
구라치지마,거짓말
거짓말 치지 말라고,거짓말
거짓말 치지 말라니까,거짓말
거짓말 좀 치지마,거짓말
구라네,거짓말
뻥치시네,거짓말
문 안 열림,걱정
문열다 옆차랑 부딪혔어,걱정
문이 안열려,걱정
잘할수있을까,걱정
아무것도 안되네,걱정
무슨 걱정,걱정
말실수했어,걱정
마음이 무거워,걱정
내일 대회야,걱정
걱정된다,걱정
가족들이랑 서먹해졌어,걱정
가족들이랑 서먹해,걱정
내가 잘할 수 있을까,걱정
내가 잘하게 될까,걱정
먹으면 살 찔까봐 걱정돼,걱정
걱장돼,걱정
걱정이야,걱정
걱정되려고 해,걱정
정말 걱정이야,걱정
장밀 걱정돼,걱정
너무 걱정돼,걱정
너무 걱정이야,걱정
걱정되더라,걱정
걱정하지 마,걱정
걱정할 것 까지야,걱정
괜찮냐고 물어봤어,걱정
괜찮니,걱정
괜찮아,걱정
괜찮은거니,걱정
괜찮냐,걱정
괜찮냐고,걱정
너 괜찮냐,걱정
너 괜찮니,걱정
너 괜찮아,걱정
너 괜찮은거니,걱정
너 정말 괜찮냐,걱정
너 정말 괜찮냐고,걱정
너 진짜 괜찮아,걱정
요즘 하는 일이 잘 안돼서 걱정이야,걱정
잘 할 수 있을까,걱정
아빠가 술 너무 많이 먹어,걱정
아빠 술 좀 끊으라고 해줘,걱정
아빠 술 먹는 거 걱정되네,걱정
잘 할 수 있을지 걱정 돼,걱정
경쟁이 너무 치열해,걱정
너 게으르지 않아,게으름
너무 게을러,게으름
게으르다,게으름
게을러 지면 안되는데,게으름
아니 나는 너무 게을러서 탈이라니까,게으름
너 진짜 게으르구나,게으름
게을러지면 안돼 알았지,게으름
게으르게 행동 할래,게으름
너 자꾸 게으르게 말 할래,게으름
게으른 사람 진짜 싫어해,게으름
아니 너 왜 이렇게 게을러,게으름
게으르게 행동 하지 말라고,게으름
매일 매일 게으르게 살고 있지,게으름
나 너무 게을러,게으름
나 게으른 것 같아,게으름
게을러서 탈이야,게으름
게을러서 문제야,게으름
너무 게을러서 나는 문제야,게으름
게으르지 않았으면 좋겠네,게으름
이 지각쟁이,게으름
게임해야지,게임
게임 진짜 재밌다,게임
게임이 제일 좋아,게임
게임 제일 좋다고,게임
던전앤 파이터 재밌어,게임
메이플 스토리 재밌어,게임
피파 게임 할거야,게임
피파 하려고,게임
축구 게임 하려고,게임
온라인 게임 해야지,게임
롤이라는 게임이 있어,게임
lol이라는 게임 알아,게임
리그 오브 레전드 게임,게임
리그 오브 레전드 게임이 재밌던데,게임
오버워치 재밌더라 게임인데,게임
오버워치 게임 재밌어,게임
스타크래프트 게임 재밌지,게임
스타크래프트가 제일 스릴 넘쳐,게임
카트라이더 완전 신나,게임
카트 게임 재밌어,게임
카트 한 판 했지,게임
게임할 거야,게임
너는 어떤 게임이 가장 재밌어,게임
어떤 게임이 가장 재밌어,게임
그 거 별로네,결정미스
그 건 별로다,결정미스
