내 가졌어,가짐
제 가졌어,가짐
그 가졌어,가짐
어제 가졌어,가짐
아까 가졌어,가짐
가지다,가짐
가질 거다,가짐
가졌을 거야,가짐
가질 거라고,가짐
가질거라니까,가짐
가질건데,가짐
진짜 하나 가져야겠다,가짐
가져버리고 싶어,가짐
진짜 가질거야,가짐
진짜 가져버릴거야,가짐
가져야 해,가짐
가져야 해,가짐
가져야 한다,가짐
가져야 한다,때림
진짜 가져버릴 수 밖에,가짐
진짜 가질 수 밖에,가짐
가져버려야 해,가짐
가질 때야,가짐
가져버릴 때네,가짐
내 가졌어요,가짐
제 가졌어요,가짐
그 가졌어요,가짐
어제 가졌어요,가짐
아까 가졌어요,가짐
가져요,가짐
가질 거에요,가짐
가졌을 거에요,가짐
가질 거라고요,가짐
가질거라니까요,가짐
가질건데요,가짐
진짜 하나 가져야겠요,가짐
가져버리고 싶어요,가짐
진짜 가질거에요,가짐
진짜 가져버릴거에요,가짐
가져야 해요,가짐
가져야 해요,가짐
가져야 합니다,가짐
가져야 합니다,때림
진짜 가져버릴 수 밖에요,가짐
진짜 가질 수 밖에요,가짐
가져버려야 해요,가짐
가질 때에요,가짐
가져버릴 때네요,가짐
가졌어,때림
가졌어요,때림
가지네요,때림
가졌네요,때림
