다음 B-DATE
주 I-DATE
전주 B-LOCATION
비 O
오려나 O

이번 B-DATE
주 I-DATE
서울 B-LOCATION
눈 O
오니 O

이번 B-DATE
주 I-DATE
대구 B-LOCATION
날씨 O
비 O
오는지 O
알려줘 O

부산 B-LOCATION
이번 B-DATE
주 I-DATE
날씨 O
맑은지 O
알려줄래 O

광주 B-LOCATION
이번 B-DATE
주 I-DATE
눈 O
오려나 O

울산 B-LOCATION
이번 B-DATE
주 I-DATE
비 O
오니 O

이번 B-DATE
주 I-DATE
인천 B-LOCATION
날씨 O
눈 O
오니 O

이번 B-DATE
주 I-DATE
전주 B-LOCATION
비 O
오는지 O
알려줄래 O

이번 B-DATE
주 I-DATE
강릉 B-LOCATION
맑아 O

이번 B-DATE
주 I-DATE
속초 B-LOCATION
날씨 O
맑니 O

이번 B-DATE
주 I-DATE
과천 B-LOCATION
눈 O
오니 O

이번 B-DATE
주 I-DATE
군산 B-LOCATION
비 O
오니 O

다음 B-DATE
주 I-DATE
전주 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
서울 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
대구 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
부산 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
광주 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
울산 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
인천 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
전주 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
강릉 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
속초 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
과천 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
군산 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
금암동 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
창포길 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
부산 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
구리 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
오산 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
인제 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
대전 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
세종 B-LOCATION
날씨 O
알려줘 O

이번 B-DATE
주 I-DATE
덕진구 B-LOCATION
날씨 O
알려줘 O

오늘 B-DATE
부산 B-LOCATION
날씨 O
알려줄래 O

내일모레 B-DATE
금천구 B-LOCATION
날씨 O
알려줄래 O

금천구 B-LOCATION
날씨 O
알려줘 O

반월동 B-LOCATION
날씨 O
알려줄래 O

날씨 O
알려줘 O

날씨 O
뭐야 O

날씨 O
알려줄래 O

모레 B-DATE
대구 B-LOCATION
날씨 O
알려줘 O

모레 B-DATE
미룡동 B-LOCATION
날씨 O
알려줘 O

오늘 B-DATE
관악구 B-LOCATION
날씨 O
알려줘 O

내일 B-DATE
마포구 B-LOCATION
날씨 O
알려줘 O

내일 B-DATE
날씨 O
알려줘 O

다음 B-DATE
주 I-DATE
전주 B-LOCATION
비 O
오려나 O

이번 B-DATE
주 I-DATE
서울 B-LOCATION
눈 O
오니 O

이번 B-DATE
주 I-DATE
대구 B-LOCATION
날씨 O
비 O
