R,G,B
155.09766764905385,151.59096698538474,143.5702498242284
168.22603443622808,169.63261867849045,167.88575832980447
165.7004297785632,163.64411057679945,153.43491890033312
154.93739229643936,158.12713963223962,156.67471696181693
144.53638670374448,146.40419580423392,139.8028627621484
150.38777531413223,146.69845651634776,136.1614301552216
156.97636203644228,163.67770300408202,165.71662328979411
173.49953857914204,174.38032764533702,168.7727849365148
163.4154333674911,160.42673860920516,156.30349557078537
147.88903023539,146.73968513546686,143.49115059492306
